LUIZ CARLOS;36963;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;2508	
JUNIOR;13666;PARTIDO DOS TRABALHADORES;PT;2319	
RICARDO BANDEIRA;27145;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;2318	
DR. PESSOA;55555;PARTIDO SOCIAL DEMOCRATICO;PSDB / PSD;9293	
PROFESSOR JULIMAR;40222;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;2245	
TERESINHA MEDEIROS;23456;PARTIDO POPULAR SOCIALISTA;PSC / PPS;2240	
DR. URSULINO;28123;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;2231	
SCHEYVAN;36656;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;2197	
MIRANDA NETO;43800;PARTIDO VERDE;PR / PV;2163	
CASSIO;65123;PARTIDO COMUNISTA DO BRASIL;PC do B;2143	
SOCORRO DA MADRE TERESA;40007;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;2069	
CIDA;31000;PARTIDO HUMANISTA DA SOLIDARIEDADE;PRP / PSL / PHS;2032	
LUIS ANDRE;23333;PARTIDO POPULAR SOCIALISTA;PSC / PPS;2008	
PROFESSOR GALBA;23777;PARTIDO POPULAR SOCIALISTA;PSC / PPS;2000	
RODRIGO MARTINS;40123;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;7408	
DERCIA SANTANA;13147;PARTIDO DOS TRABALHADORES;PT;1889	
MONTELES;22222;PARTIDO DA REPUBLICA;PR / PV;1856	
PULIM;43001;PARTIDO VERDE;PR / PV;1812	
PAULO BRIZOLLA;36212;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;1798	
WALKE PRADO;45644;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB / PSD;1785	
VALDEMAR DA PENHA;15111;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;PMDB;1768	
CELENE;70555;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;1736	
DR LAZARO CARVALHO;17222;PARTIDO SOCIAL LIBERAL;PRP / PSL / PHS;1721	
CLOVIS JUNIOR;45661;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB / PSD;1714	
TRAJANO DO ALTERNATIVO;40888;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;1694	
